,location,total_sqft,bath,price,bhk
0,Ashram Chowk,2850.0,4,428.0,4
1,Ashram Chowk,1630.0,3,194.0,3
2,Ashram Chowk,1875.0,2,235.0,3
3,Ashram Chowk,1200.0,2,130.0,3
4,Ashram Chowk,1235.0,2,148.0,2
5,Ashram Chowk,2750.0,4,413.0,4
6,Ashram Chowk,2450.0,4,368.0,4
7,Ashram Chowk,1875.0,3,167.0,3
8,Ashram Chowk,1500.0,5,85.0,5
9,Ashram Chowk,2065.0,4,210.0,3
10,Ashram Chowk,2059.0,3,225.0,3
11,Ashram Chowk,1394.0,2,100.0,2
12,Ashram Chowk,1077.0,2,93.0,2
13,Ashram Chowk,1566.0,2,180.0,2
14,Ashram Chowk,840.0,2,50.0,1
15,Ashram Chowk,1590.0,3,131.0,3
16,Ashram Chowk,2180.0,3,210.0,3
17,Ashram Chowk,1180.0,2,88.5,2
18,Ashram Chowk,1200.0,2,86.0,2
19,Ashram Chowk,1394.0,2,85.0,2
20,Ashram Chowk,2077.0,3,175.0,3
21,Ashram Chowk,1205.0,2,85.0,2
22,Ashram Chowk,900.0,2,75.0,2
23,Ashram Chowk,1450.0,2,50.75,3
24,Ashram Chowk,1150.0,2,40.25,2
25,Ashram Chowk,1350.0,2,47.25,3
26,Ashram Chowk,1350.0,2,47.25,3
27,Ashram Chowk,900.0,2,41.0,2
28,Ashram Chowk,1681.0,3,69.0,3
29,Ashram Chowk,1350.0,2,47.25,3
30,Ashram Chowk,1150.0,2,40.25,2
31,Ashram Chowk,1500.0,4,220.0,4
32,Ashram Chowk,3000.0,8,451.0,6
33,Ashram Chowk,2400.0,8,450.0,6
34,Ashram Chowk,1350.0,4,200.0,4
35,Ashram Chowk,1200.0,4,225.0,4
36,Ashram Chowk,1500.0,3,230.0,4
37,Ashram Chowk,1206.0,2,56.0,2
38,Ashram Chowk,1270.0,2,70.0,3
39,Ashram Chowk,1312.0,2,69.0,2
40,Ashram Chowk,1100.0,2,48.0,2
41,Ashram Chowk,3600.0,5,130.0,5
42,Ashram Chowk,5100.0,5,300.0,6
43,Ashram Chowk,1075.0,2,60.0,2
44,Ashram Chowk,1150.0,3,52.5,2
45,Ashram Chowk,1256.0,2,62.8,2
46,Ashram Chowk,1207.0,2,63.0,2
47,Ashram Chowk,1725.0,2,100.0,3
48,Ashram Chowk,1440.0,2,60.0,2
49,Ashram Chowk,1700.0,2,100.0,3
50,Ashram Chowk,2500.0,5,110.0,5
51,Ashram Chowk,600.0,1,30.0,1
52,Ashram Chowk,1390.0,2,65.0,2
53,Ashram Chowk,1256.0,2,62.8,2
54,Ashram Chowk,1000.0,2,48.0,2
55,Ashram Chowk,1350.0,2,75.0,3
56,Ashram Chowk,552.0,1,23.5,1
57,Ashram Chowk,1200.0,2,51.0,2
58,Ashram Chowk,1030.0,2,57.0,2
59,Ashram Chowk,1200.0,2,68.0,2
60,Ashram Chowk,1190.0,2,61.8,2
61,Ashram Chowk,4000.0,5,170.0,5
62,Ashram Chowk,1080.0,2,53.0,2
63,Ashram Chowk,1041.0,2,54.0,2
64,Ashram Chowk,812.0,2,42.0,2
65,Ashram Chowk,1010.0,2,57.0,2
66,Ashram Chowk,1075.0,2,60.0,2
67,Ashram Chowk,1192.0,2,74.0,2
68,Ashram Chowk,1180.0,2,80.0,2
69,Ashram Chowk,3245.0,4,250.0,4
70,Ashram Chowk,1645.0,3,100.0,3
71,Ashram Chowk,1140.0,2,65.0,2
72,Ashram Chowk,2040.0,3,200.0,3
73,Ashram Chowk,1213.0,2,63.0,2
74,Ashram Chowk,1216.0,2,60.0,2
75,Ashram Chowk,1460.0,2,80.0,2
76,Ashram Chowk,2003.0,3,200.0,3
77,Ashram Chowk,1810.0,3,131.0,3
78,Ashram Chowk,1515.0,2,135.0,3
79,Ashram Chowk,1192.0,2,75.0,2
80,Ashram Chowk,1280.0,2,88.0,2
81,Ashram Chowk,1080.0,2,72.0,2
82,Ashram Chowk,1270.0,2,93.0,2
83,Ashram Chowk,1420.0,2,100.0,3
84,Ashram Chowk,1850.0,3,150.0,3
85,Ashram Chowk,1245.0,2,94.0,2
86,Ashram Chowk,1175.0,2,82.0,2
87,Ashram Chowk,1400.0,2,95.0,3
88,Ashram Chowk,2225.0,3,160.0,3
89,Ashram Chowk,1050.0,2,71.0,2
90,Ashram Chowk,1100.0,2,46.0,2
91,Ashram Chowk,918.0,2,50.49,2
92,Ashram Chowk,1450.0,2,100.0,3
93,Ashram Chowk,1190.0,2,49.98,2
94,Ashram Chowk,1420.0,2,96.0,3
95,Ashram Chowk,1680.0,3,120.0,3
96,Ashram Chowk,980.0,2,69.0,2
97,Ashram Chowk,1180.0,2,72.0,2
98,Ashram Chowk,1400.0,3,115.0,3
99,Ashram Chowk,1270.0,2,83.0,2
100,Ashram Chowk,2503.0,4,188.0,4
101,Ashram Chowk,2200.0,3,190.0,3
102,Ashram Chowk,1575.0,2,110.0,3
103,Ashram Chowk,1850.0,3,140.0,3
104,Ashram Chowk,1575.0,2,120.0,3
105,Ashram Chowk,1850.0,3,150.0,3
106,Ashram Chowk,1680.0,3,120.0,3
107,Ashram Chowk,1175.0,2,82.5,2
108,Ashram Chowk,1215.0,2,90.0,2
109,Ashram Chowk,1050.0,2,75.0,2
110,Ashram Chowk,1300.0,3,89.13,3
111,Ashram Chowk,1130.0,2,73.0,2
112,Ashram Chowk,1450.0,3,100.0,3
113,Ashram Chowk,1050.0,2,50.0,2
114,Ashram Chowk,1275.0,2,87.0,2
115,Ashram Chowk,1650.0,3,110.0,3
116,Ashram Chowk,850.0,2,42.0,2
117,Ashram Chowk,1680.0,3,117.0,3
118,Ashram Chowk,1850.0,3,150.0,3
119,Ashram Chowk,1236.0,2,61.33,2
120,Ashram Chowk,1000.0,2,53.0,2
121,Ashram Chowk,1680.0,3,125.0,3
122,Ashram Chowk,1675.0,2,135.0,3
123,Ashram Chowk,1187.0,2,59.0,2
124,Ashram Chowk,1850.0,3,155.0,3
125,Ashram Chowk,1000.0,2,61.0,2
126,Ashram Chowk,1460.0,2,100.0,3
127,Ashram Chowk,1650.0,3,110.0,3
128,Ashram Chowk,1200.0,2,62.5,2
129,Ashram Chowk,1000.0,2,70.65,2
130,Ashram Chowk,1080.0,2,75.0,2
131,Ashram Chowk,1680.0,3,125.0,3
132,Barakambha Road,1460.0,2,97.0,3
133,Barakambha Road,1120.0,2,65.0,2
134,Barakambha Road,1100.0,3,60.0,2
135,Barakambha Road,1790.0,3,120.0,3
136,Barakambha Road,1680.0,3,117.0,3
137,Barakambha Road,1050.0,2,77.0,2
138,Barakambha Road,1050.0,2,75.0,2
139,Barakambha Road,1040.0,2,75.0,2
140,Barakambha Road,1400.0,2,95.0,3
141,Barakambha Road,1800.0,3,130.0,3
142,Barakambha Road,1050.0,2,68.0,2
143,Barakambha Road,1000.0,2,60.0,2
144,Barakambha Road,1680.0,3,125.0,3
145,Barakambha Road,1050.0,2,77.47,2
146,Barakambha Road,1270.0,2,80.0,2
147,Barakambha Road,1680.0,3,122.0,3
148,Barakambha Road,1130.0,2,85.0,2
149,Barakambha Road,1680.0,3,130.0,3
150,Barakambha Road,980.0,2,77.44,2
151,Barakambha Road,1680.0,3,112.0,3
152,Barakambha Road,2095.0,3,150.0,3
153,Barakambha Road,1976.0,3,145.0,3
154,Barakambha Road,1600.0,2,110.0,3
155,Barakambha Road,1765.0,3,118.0,3
156,Barakambha Road,1275.0,2,88.0,3
157,Barakambha Road,1450.0,2,102.0,3
158,Barakambha Road,1575.0,2,110.0,3
159,Barakambha Road,750.0,1,47.0,1
160,Barakambha Road,990.0,2,50.0,2
161,Barakambha Road,1000.0,1,60.0,1
162,Barakambha Road,1430.0,2,102.0,3
163,Barakambha Road,1128.0,2,60.0,2
164,Barakambha Road,1140.0,2,57.0,2
165,Barakambha Road,1420.0,3,90.0,3
166,Barakambha Road,1530.0,2,108.0,2
167,Barakambha Road,1073.5,2,54.005,2
168,Barakambha Road,451.0,1,29.9,1
169,Barakambha Road,1062.0,2,42.47,2
170,Barakambha Road,1455.0,3,73.31,3
171,Barakambha Road,871.0,2,55.0,2
172,Barakambha Road,1098.0,2,43.91,2
173,Barakambha Road,1800.0,3,80.0,3
174,Barakambha Road,2700.0,4,130.0,4
175,Barakambha Road,1080.0,2,38.0,2
176,Barakambha Road,1059.0,2,34.5,2
177,Barakambha Road,1080.0,2,35.0,2
178,Barakambha Road,1062.0,2,42.47,2
179,Barakambha Road,500.0,1,31.0,1
180,Barakambha Road,1100.0,2,35.0,2
181,Barakambha Road,2100.0,4,92.0,4
182,Barakambha Road,1035.0,2,39.33,2
183,Barakambha Road,909.0,2,40.9,2
184,Barakambha Road,1431.5,3,72.02,3
185,Barakambha Road,1900.0,4,90.0,3
186,Barakambha Road,500.0,1,30.0,1
187,Barakambha Road,1125.0,2,36.94,2
188,Barakambha Road,1100.0,2,35.0,2
189,Barakambha Road,1089.0,2,43.55,2
190,Barakambha Road,1504.0,2,83.0,3
191,Barakambha Road,2600.0,4,115.0,4
192,Barakambha Road,1089.0,2,43.55,2
193,Barakambha Road,1513.0,2,62.0,2
194,Barakambha Road,1298.0,2,59.0,2
195,Barakambha Road,1006.0,2,44.0,2
196,Barakambha Road,500.0,1,33.0,1
197,Barakambha Road,1160.0,2,95.0,2
198,Barakambha Road,1245.0,2,59.0,2
199,Barakambha Road,1510.0,2,80.0,2
200,Barakambha Road,3300.0,3,165.0,3
201,Barakambha Road,1730.0,5,75.0,5
202,Barakambha Road,1046.0,2,48.0,2
203,Barakambha Road,1408.0,3,80.0,3
204,Barakambha Road,1005.0,2,50.0,2
205,Barakambha Road,1100.0,2,65.0,2
206,Barakambha Road,1080.0,2,37.0,2
207,Barakambha Road,1035.0,2,45.0,2
208,Barakambha Road,5000.0,4,290.0,4
209,Barakambha Road,1164.0,2,56.0,2
210,Barakambha Road,1005.0,2,42.0,2
211,Barakambha Road,1127.0,2,50.0,2
212,Barakambha Road,1005.0,2,43.0,2
213,Barakambha Road,835.0,2,37.0,2
214,Barakambha Road,1050.0,2,39.0,2
215,Barakambha Road,660.0,2,27.0,2
216,Barakambha Road,600.0,1,20.0,1
217,Barakambha Road,1466.0,2,71.0,2
218,Barakambha Road,1890.0,2,93.0,3
219,Barakambha Road,1079.0,2,60.0,2
220,Barakambha Road,1480.0,2,80.0,2
221,Barakambha Road,1200.0,2,80.0,2
222,Barakambha Road,905.0,2,32.0,2
